Designator,Mid X,Mid Y,Rotation,Layer
C1,147.25,-64.65,0.0,top
C10,136.166667,-70.45,0.0,top
C11,136.05,-74.05,0.0,top
C12,134.05,-76.69,270.0,top
C13,128.916667,-76.72,90.0,top
C14,129.866667,-76.72,90.0,top
C15,125.58,-74.85,180.0,top
C16,131.85,-76.716667,270.0,top
C17,125.55,-71.35,180.0,top
C18,154.25,-67.15,270.0,top
C19,152.35,-67.15,270.0,top
C2,125.58,-73.9,0.0,top
C20,153.3,-67.15,270.0,top
C21,146.05,-70.35,90.0,top
C22,149.1,-71.4,0.0,top
C23,157.15,-70.8,180.0,top
C24,154.7,-75.41,270.0,top
C25,155.65,-75.41,270.0,top
C26,153.75,-75.41,270.0,top
C27,152.8,-77.26,270.0,top
C28,151.85,-75.4,270.0,top
C29,149.95,-75.35,270.0,top
C3,147.3,-67.5,0.0,top
C30,151.85,-77.25,270.0,top
C31,158.45,-69.85,180.0,top
C32,119.88,-76.7,0.0,top
C33,121.05,-72.3,180.0,top
C34,143.85,-63.7,90.0,top
C35,142.3,-63.7,90.0,top
C36,142.05,-69.8,90.0,top
C4,129.55,-66.65,90.0,top
C5,147.75,-69.85,270.0,top
C6,130.5,-66.65,90.0,top
C7,132.4,-66.65,90.0,top
C8,133.9,-67.05,90.0,top
C9,135.766667,-67.533333,180.0,top
D1,160.5,-71.25,270.0,top
D2,122.4875,-63.8,0.0,top
J1,164.9,-70.15,0.0,top
J2,104.9,-70.0,180.0,top
L1,123.7,-73.25,180.0,top
L10,156.565,-69.85,180.0,top
L11,147.7,-66.05,270.0,top
L12,147.3,-68.45,180.0,top
L13,149.2,-70.3,0.0,top
L2,135.765,-68.5,0.0,top
L3,123.7,-71.95,0.0,top
L4,125.608333,-75.8,0.0,top
L5,130.85,-76.716667,90.0,top
L6,125.6,-72.6,0.0,top
L7,157.9,-72.95,270.0,top
L8,156.4,-72.95,270.0,top
L9,149.95,-77.25,90.0,top
R1,125.608333,-76.75,0.0,top
R10,150.9,-75.39,270.0,top
R11,150.9,-77.26,270.0,top
R12,141.55,-68.35,180.0,top
R13,143.45,-68.35,180.0,top
R14,119.9425,-63.805,180.0,top
R2,132.8,-76.7,90.0,top
R3,139.675,-71.1,180.0,top
R4,138.05,-74.25,90.0,top
R5,150.14,-66.4,0.0,top
R6,150.14,-67.35,0.0,top
R7,150.14,-65.45,0.0,top
R8,150.14,-68.3,0.0,top
R9,152.8,-75.41,270.0,top
U1,131.45,-71.7,180.0,top
U2,142.225,-74.3,90.0,top
U3,152.825,-71.125,0.0,top
U4,119.9,-74.5375,180.0,top
U5,145.325,-65.035,90.0,top
U6,142.95,-66.25,270.0,top
U7,120.275,-69.9375,180.0,top
X1,144.05,-70.15,180.0,top
